epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.11104,2.63285,4.01177,1.78098,0,0,0,0,1.57383,3.92625,1.62199,0,0,0
2,5.42631,2.67363,3.99019,1.63601,0,0,0,0,1.55327,3.92604,1.61109,1.6505e-05,1.6505e-05,1.6505e-05
3,7.05438,2.4651,3.93965,1.85452,0,0,0,0,1.55963,3.92545,1.60569,3.26799e-05,3.26799e-05,3.26799e-05
4,8.51283,2.70556,3.93486,1.97297,0,0,0,0,1.57308,3.92077,1.58937,4.85247e-05,4.85247e-05,4.85247e-05
5,10.9109,3.75186,4.04074,2.12138,0.00298,0.01515,0.00155,0.00016,1.6455,3.91705,1.58643,6.40395e-05,6.40395e-05,6.40395e-05
6,12.4784,2.39823,3.90117,1.49332,0.00867,0.04545,0.00482,0.00205,1.67197,3.88922,1.52152,7.92242e-05,7.92242e-05,7.92242e-05
7,13.9477,2.31272,3.89762,1.50022,0.01705,0.09091,0.01016,0.0057,1.78634,3.83018,1.49912,9.40788e-05,9.40788e-05,9.40788e-05
8,16.3581,2.50858,3.81269,1.47823,0.0309,0.16667,0.02191,0.00956,1.80707,3.71604,1.41958,0.000108603,0.000108603,0.000108603
9,17.8426,2.03445,3.74151,1.42534,0.04396,0.24242,0.03349,0.0185,1.88366,3.60167,1.37682,0.000122798,0.000122798,0.000122798
10,19.3773,2.33373,3.75417,1.36728,0.01242,0.06061,0.00705,0.00323,2.03245,3.52274,1.36866,0.000136662,0.000136662,0.000136662
11,21.7543,2.0226,3.58643,1.33502,0,0,0,0,2.16483,3.50156,1.40758,0.000150197,0.000150197,0.000150197
12,23.3789,1.94152,3.55914,1.34294,0,0,0,0,2.23916,3.49491,1.40079,0.000163401,0.000163401,0.000163401
13,25.0259,1.88471,3.56364,1.30452,0,0,0,0,2.3049,3.4939,1.40401,0.000176275,0.000176275,0.000176275
14,27.1726,2.10554,3.54729,1.50551,0,0,0,0,2.38371,3.4971,1.43965,0.000188819,0.000188819,0.000188819
15,28.9933,1.74378,3.44235,1.13406,0,0,0,0,2.40704,3.51667,1.45796,0.000201034,0.000201034,0.000201034
16,30.9689,1.71845,3.37387,1.24787,0,0,0,0,2.38309,3.51715,1.45915,0.000212918,0.000212918,0.000212918
17,33.463,1.61943,3.30292,1.14112,0,0,0,0,2.43405,3.53527,1.51935,0.000224472,0.000224472,0.000224472
