epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.52083,2.23127,3.74397,1.32072,0,0,0,0,2.88127,5.19102,2.25977,0,0,0
2,3.06029,2.47433,3.74966,1.3912,0,0,0,0,2.97422,5.25802,2.313,1.6505e-05,1.6505e-05,1.6505e-05
3,4.35679,2.24375,3.8365,1.29069,0,0,0,0,3.06298,5.281,2.35511,3.26799e-05,3.26799e-05,3.26799e-05
4,6.08464,2.74288,3.828,1.61552,0,0,0,0,3.21293,5.31062,2.41677,4.85247e-05,4.85247e-05,4.85247e-05
5,7.29273,2.25194,3.59562,1.25011,0,0,0,0,3.45717,5.31311,2.52069,6.40395e-05,6.40395e-05,6.40395e-05
6,8.40165,2.0604,4.12554,1.51798,0,0,0,0,3.5302,5.38396,2.59879,7.92242e-05,7.92242e-05,7.92242e-05
7,9.7658,2.07385,3.63727,1.43995,0,0,0,0,3.41174,5.60689,2.55539,9.40788e-05,9.40788e-05,9.40788e-05
8,11.3901,2.2327,3.59677,1.23634,0,0,0,0,3.32425,5.68058,2.54861,0.000108603,0.000108603,0.000108603
9,12.6275,2.32204,3.50161,1.16568,0,0,0,0,3.20391,5.55239,2.50206,0.000122798,0.000122798,0.000122798
10,13.8716,2.03485,3.44457,1.4445,0,0,0,0,3.2568,5.47853,2.52037,0.000136662,0.000136662,0.000136662
11,15.6649,2.02722,3.43642,1.18981,0,0,0,0,3.58336,5.38433,2.63286,0.000150197,0.000150197,0.000150197
12,16.8349,2.25534,4.15268,1.39116,0,0,0,0,3.60747,5.45631,2.69714,0.000163401,0.000163401,0.000163401
13,17.9221,1.87796,3.24222,1.10925,0,0,0,0,3.40803,5.51135,2.58535,0.000176275,0.000176275,0.000176275
14,19.123,1.98904,3.16641,1.11404,0,0,0,0,3.44454,5.51213,2.56189,0.000188819,0.000188819,0.000188819
15,20.5499,1.8132,3.15035,1.18197,0,0,0,0,3.3529,5.58433,2.51654,0.000201034,0.000201034,0.000201034
16,22.388,1.61956,3.12337,1.09173,0,0,0,0,3.41758,5.56327,2.55997,0.000212918,0.000212918,0.000212918
17,24.0461,1.91366,3.18174,1.35214,0,0,0,0,3.41042,5.85635,2.59867,0.000224472,0.000224472,0.000224472
18,25.2895,2.03353,3.07218,1.02682,0,0,0,0,3.41042,5.85635,2.59867,0.000235695,0.000235695,0.000235695
19,26.7068,1.67598,2.94865,1.02789,0,0,0,0,3.41099,5.62772,2.56201,0.000246589,0.000246589,0.000246589
20,28.4531,1.91855,3.01578,1.02327,0,0,0,0,3.41099,5.62772,2.56201,0.000257153,0.000257153,0.000257153
21,30.4905,2.05223,3.20072,1.42162,0,0,0,0,3.45379,5.5728,2.57341,0.000267387,0.000267387,0.000267387
22,32.3189,1.68121,2.89826,1.10001,0,0,0,0,3.45379,5.5728,2.57341,0.00027729,0.00027729,0.00027729
23,34.2639,1.97007,2.59915,1.08968,0,0,0,0,3.22675,5.07868,2.38811,0.000286864,0.000286864,0.000286864
24,36.2473,1.99073,2.6014,1.18411,0,0,0,0,3.22675,5.07868,2.38811,0.000296108,0.000296108,0.000296108
25,38.4326,1.81553,2.63485,1.09671,0,0,0,0,3.07262,5.2285,2.39038,0.000305021,0.000305021,0.000305021
26,40.5978,1.58421,2.33289,1.01641,0,0,0,0,3.07262,5.2285,2.39038,0.000313604,0.000313604,0.000313604
27,42.4606,1.59092,2.40865,1.0429,0,0,0,0,2.99658,5.07541,2.31226,0.000321858,0.000321858,0.000321858
28,44.3313,1.4829,2.42928,1.26274,0,0,0,0,2.99658,5.07541,2.31226,0.000329781,0.000329781,0.000329781
29,47.1661,2.05562,2.4322,1.55759,0,0,0,0,2.79344,5.23341,2.22013,0.000337374,0.000337374,0.000337374
30,49.6663,1.67699,2.0317,1.15687,0,0,0,0,2.79344,5.23341,2.22013,0.000344637,0.000344637,0.000344637
31,51.3505,1.57447,2.15258,1.18635,0,0,0,0,2.91641,5.14762,2.26323,0.00035157,0.00035157,0.00035157
32,52.7964,1.69836,1.98334,0.97731,0,0,0,0,2.91641,5.14762,2.26323,0.000358173,0.000358173,0.000358173
33,53.9978,1.61675,2.13129,0.99316,0,0,0,0,2.77895,5.04241,2.24211,0.000364446,0.000364446,0.000364446
34,55.0885,1.81235,2.82861,0.989,0,0,0,0,2.77895,5.04241,2.24211,0.000370389,0.000370389,0.000370389
35,56.4708,1.69233,2.23566,0.97176,0,0,0,0,2.64803,5.02263,2.21922,0.000376002,0.000376002,0.000376002
36,57.8074,1.77701,2.14531,1.0491,0,0,0,0,2.64803,5.02263,2.21922,0.000381285,0.000381285,0.000381285
37,59.0287,1.68569,1.96598,1.17474,0.00355,0.16667,0.00254,0.00025,2.87206,5.06848,2.26618,0.000386237,0.000386237,0.000386237
38,60.1787,1.52063,1.75957,0.98374,0.00355,0.16667,0.00254,0.00025,2.87206,5.06848,2.26618,0.00039086,0.00039086,0.00039086
39,61.3669,1.74915,1.79421,1.15586,0.00336,0.16667,0.00242,0.00048,3.23444,5.06406,2.39099,0.000395152,0.000395152,0.000395152
40,63.1758,1.68899,2.26172,0.93181,0.00336,0.16667,0.00242,0.00048,3.23444,5.06406,2.39099,0.000399115,0.000399115,0.000399115
41,64.7744,1.54662,1.62262,0.97954,0.00338,0.16667,0.00229,0.00046,3.51587,5.07975,2.48134,0.000402747,0.000402747,0.000402747
42,65.9517,1.65794,2.26645,1.12295,0.00338,0.16667,0.00229,0.00046,3.51587,5.07975,2.48134,0.00040605,0.00040605,0.00040605
43,67.2011,1.47052,1.36509,1.00464,0,0,0,0,3.26307,5.07981,2.40299,0.000409022,0.000409022,0.000409022
44,68.5233,1.88229,2.01166,0.98023,0,0,0,0,3.26307,5.07981,2.40299,0.000411664,0.000411664,0.000411664
45,70.2484,1.29708,1.31435,0.99629,0,0,0,0,3.24021,4.99942,2.43458,0.000413976,0.000413976,0.000413976
46,71.3735,1.57458,1.51524,1.03151,0,0,0,0,3.24021,4.99942,2.43458,0.000415958,0.000415958,0.000415958
47,72.5639,1.48908,1.57559,0.91604,0,0,0,0,3.29558,4.9858,2.5446,0.00041761,0.00041761,0.00041761
48,73.9361,1.36022,1.32231,1.05693,0,0,0,0,3.29558,4.9858,2.5446,0.000418932,0.000418932,0.000418932
49,75.6635,1.1944,1.46292,0.97324,0,0,0,0,3.15963,5.00948,2.61681,0.000419924,0.000419924,0.000419924
50,76.7811,1.34173,1.39909,0.99721,0,0,0,0,3.15963,5.00948,2.61681,0.000420586,0.000420586,0.000420586
51,78.0732,1.57283,1.55954,0.95143,0,0,0,0,3.19792,4.97599,2.7279,0.000420918,0.000420918,0.000420918
52,79.603,1.10759,1.58278,1.07397,0,0,0,0,3.19792,4.97599,2.7279,0.000420919,0.000420919,0.000420919
53,81.0095,1.29063,1.21639,0.92326,0,0,0,0,3.19792,4.97599,2.7279,0.000420591,0.000420591,0.000420591
54,82.3725,1.2832,1.34226,0.95938,0,0,0,0,3.43417,5.46927,2.85774,0.000419932,0.000419932,0.000419932
55,83.5164,1.16057,1.19535,0.93804,0,0,0,0,3.43417,5.46927,2.85774,0.000418944,0.000418944,0.000418944
56,85.4513,1.24941,1.13054,0.97693,0,0,0,0,3.43417,5.46927,2.85774,0.000417625,0.000417625,0.000417625
57,86.6499,1.1957,1.01622,0.93858,0,0,0,0,3.58154,5.39974,2.87776,0.000415977,0.000415977,0.000415977
58,87.8036,1.37202,1.37938,0.92249,0,0,0,0,3.58154,5.39974,2.87776,0.000413998,0.000413998,0.000413998
59,88.9865,1.24614,1.39131,0.993,0,0,0,0,3.58154,5.39974,2.87776,0.000411689,0.000411689,0.000411689
60,90.4145,1.29647,1.2888,0.93662,0,0,0,0,3.8091,5.36777,2.93257,0.00040905,0.00040905,0.00040905
61,91.9014,1.16538,1.19401,0.98729,0,0,0,0,3.8091,5.36777,2.93257,0.000406081,0.000406081,0.000406081
62,93.3199,1.27662,1.27604,1.00182,0,0,0,0,3.8091,5.36777,2.93257,0.000402782,0.000402782,0.000402782
63,94.8229,1.19861,1.19526,0.87867,0,0,0,0,3.84363,5.45417,2.86908,0.000399153,0.000399153,0.000399153
64,96.6196,1.15638,0.99566,1.06813,0,0,0,0,3.84363,5.45417,2.86908,0.000395194,0.000395194,0.000395194
65,98.3826,1.33157,1.19075,1.10669,0,0,0,0,3.84363,5.45417,2.86908,0.000390905,0.000390905,0.000390905
66,100.408,1.2732,1.36547,0.87238,0,0,0,0,3.70918,5.3962,2.74863,0.000386286,0.000386286,0.000386286
67,102.219,1.13756,1.19365,0.9839,0,0,0,0,3.70918,5.3962,2.74863,0.000381336,0.000381336,0.000381336
68,104.198,1.10463,1.13116,0.96602,0,0,0,0,3.70918,5.3962,2.74863,0.000376057,0.000376057,0.000376057
69,106.436,1.44022,1.21248,0.9443,0,0,0,0,3.48907,5.24864,2.65688,0.000370447,0.000370447,0.000370447
70,108.157,1.50815,1.34746,0.98283,0,0,0,0,3.48907,5.24864,2.65688,0.000364508,0.000364508,0.000364508
71,109.962,0.91539,0.94937,0.87933,0,0,0,0,3.48907,5.24864,2.65688,0.000358238,0.000358238,0.000358238
72,111.89,1.9512,1.77689,1.17089,0,0,0,0,3.39773,5.20403,2.69557,0.000351639,0.000351639,0.000351639
73,113.958,1.14314,1.02243,0.8655,0,0,0,0,3.39773,5.20403,2.69557,0.000344709,0.000344709,0.000344709
74,116.52,0.92917,0.97878,0.8742,0,0,0,0,3.39773,5.20403,2.69557,0.000337449,0.000337449,0.000337449
75,118.957,0.93233,1.133,0.98121,0,0,0,0,3.49613,5.03121,2.73768,0.000329859,0.000329859,0.000329859
76,120.527,0.94071,1.02525,0.96746,0,0,0,0,3.49613,5.03121,2.73768,0.000321939,0.000321939,0.000321939
77,122.322,1.02927,0.99964,0.99323,0,0,0,0,3.49613,5.03121,2.73768,0.000313689,0.000313689,0.000313689
78,123.459,1.29176,1.43164,0.93765,0,0,0,0,3.56614,4.79447,2.7261,0.000305109,0.000305109,0.000305109
79,125.056,0.95605,0.91787,0.9259,0,0,0,0,3.56614,4.79447,2.7261,0.000296199,0.000296199,0.000296199
80,126.917,1.17258,1.04342,0.98664,0,0,0,0,3.56614,4.79447,2.7261,0.000286959,0.000286959,0.000286959
81,128.067,0.99479,1.08234,1.00406,0,0,0,0,3.5355,4.68977,2.66899,0.000277389,0.000277389,0.000277389
82,129.25,1.26898,1.18343,0.90707,0,0,0,0,3.5355,4.68977,2.66899,0.000267488,0.000267488,0.000267488
83,131.028,1.09273,0.99138,0.939,0,0,0,0,3.5355,4.68977,2.66899,0.000257258,0.000257258,0.000257258
84,132.737,0.85958,1.00778,0.91247,0,0,0,0,3.42102,4.82249,2.68618,0.000246698,0.000246698,0.000246698
85,134.164,1.05045,1.07958,0.95548,0,0,0,0,3.42102,4.82249,2.68618,0.000235807,0.000235807,0.000235807
86,135.592,1.0602,1.08658,1.01974,0,0,0,0,3.42102,4.82249,2.68618,0.000224587,0.000224587,0.000224587
87,137.817,1.03748,0.97683,0.84328,0,0,0,0,3.42102,4.82249,2.68618,0.000213036,0.000213036,0.000213036
88,139.409,1.09663,1.10591,0.85288,0,0,0,0,3.39376,4.80496,2.65602,0.000201155,0.000201155,0.000201155
89,140.904,1.17882,1.21587,0.89708,0,0,0,0,3.39376,4.80496,2.65602,0.000188944,0.000188944,0.000188944
90,143.298,0.95115,0.99388,0.86994,0,0,0,0,3.39376,4.80496,2.65602,0.000176404,0.000176404,0.000176404
91,144.728,0.97135,1.0981,0.82584,0,0,0,0,3.39376,4.80496,2.65602,0.000163533,0.000163533,0.000163533
92,146.325,1.04591,1.17571,0.8132,0,0,0,0,3.37682,4.86461,2.65191,0.000150332,0.000150332,0.000150332
93,148.491,0.86069,0.86817,0.88311,0,0,0,0,3.37682,4.86461,2.65191,0.000136801,0.000136801,0.000136801
94,149.966,0.99145,0.98774,0.86142,0,0,0,0,3.37682,4.86461,2.65191,0.00012294,0.00012294,0.00012294
95,151.318,0.97666,1.00011,0.96535,0,0,0,0,3.37682,4.86461,2.65191,0.000108748,0.000108748,0.000108748
96,153.618,0.84485,0.85355,0.81431,0,0,0,0,3.42828,4.80753,2.70315,9.42272e-05,9.42272e-05,9.42272e-05
97,155.034,1.12673,1.15735,0.93787,0,0,0,0,3.42828,4.80753,2.70315,7.93759e-05,7.93759e-05,7.93759e-05
98,156.734,0.81882,0.99721,0.85988,0,0,0,0,3.42828,4.80753,2.70315,6.41945e-05,6.41945e-05,6.41945e-05
99,158.967,0.74331,0.84767,0.91262,0,0,0,0,3.42828,4.80753,2.70315,4.86831e-05,4.86831e-05,4.86831e-05
100,160.584,0.89762,0.95936,0.8712,0,0,0,0,3.41461,4.83163,2.69392,3.28416e-05,3.28416e-05,3.28416e-05
