epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,84.0736,1.42718,2.69395,1.0049,0.03198,0.10723,0.0206,0.00559,2.1315,3.62846,1.46505,0.000354872,0.000354872,0.000354872
46,86.4528,1.50598,2.62552,1.03074,0.03198,0.10723,0.0206,0.00559,2.1315,3.62846,1.46505,0.000356571,0.000356571,0.000356571
47,88.15,1.5027,2.58015,1.07422,0.02146,0.05594,0.02364,0.00603,2.07017,3.63394,1.44114,0.000357987,0.000357987,0.000357987
48,90.6012,1.68472,2.80457,1.10839,0.02146,0.05594,0.02364,0.00603,2.07017,3.63394,1.44114,0.000359121,0.000359121,0.000359121
49,92.1527,1.30918,2.43123,0.98239,0.0203,0.08159,0.02362,0.00425,2.05003,3.66728,1.4659,0.000359971,0.000359971,0.000359971
50,93.6768,1.61266,2.69941,1.09851,0.0203,0.08159,0.02362,0.00425,2.05003,3.66728,1.4659,0.000360538,0.000360538,0.000360538
51,95.8611,1.29223,2.32917,1.01152,0.00722,0.03574,0.01523,0.00274,1.993,3.70195,1.47446,0.000360822,0.000360822,0.000360822
52,97.4842,1.27995,2.20998,1.00997,0.00722,0.03574,0.01523,0.00274,1.993,3.70195,1.47446,0.000360824,0.000360824,0.000360824
53,99.1379,1.49567,2.2943,1.04575,0.00722,0.03574,0.01523,0.00274,1.993,3.70195,1.47446,0.000360542,0.000360542,0.000360542
54,101.544,1.70657,2.44751,1.04548,0.0065,0.03574,0.00615,0.00403,1.99988,3.706,1.48134,0.000359978,0.000359978,0.000359978
55,103.365,1.17923,2.05859,1.0095,0.0065,0.03574,0.00615,0.00403,1.99988,3.706,1.48134,0.000359131,0.000359131,0.000359131
56,106.035,1.34063,1.89516,1.09763,0.0065,0.03574,0.00615,0.00403,1.99988,3.706,1.48134,0.000358,0.000358,0.000358
57,108.275,1.66992,2.45387,1.08144,0.00651,0.03574,0.00555,0.00258,2.03267,3.6903,1.51493,0.000356587,0.000356587,0.000356587
58,110.052,1.56093,2.30443,1.06882,0.00651,0.03574,0.00555,0.00258,2.03267,3.6903,1.51493,0.000354891,0.000354891,0.000354891
59,112.558,1.35213,2.16273,1.1351,0.00651,0.03574,0.00555,0.00258,2.03267,3.6903,1.51493,0.000352912,0.000352912,0.000352912
60,114.44,1.56148,2.15586,0.95325,0.00529,0.0101,0.00487,0.00292,2.05946,3.66821,1.51671,0.000350649,0.000350649,0.000350649
