epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.33998,3.25796,4.32696,1.81437,0,0,0,0,2.70031,4.55196,2.08451,0,0,0
2,3.08758,3.7969,4.25823,2.10247,0,0,0,0,2.43906,4.60544,2.01186,1.60099e-05,1.60099e-05,1.60099e-05
3,4.34046,3.63951,4.61023,2.13635,0,0,0,0,2.41469,4.56705,1.98242,3.06995e-05,3.06995e-05,3.06995e-05
4,5.49263,3.81772,4.78406,2.46877,0,0,0,0,2.38831,4.5854,1.93144,4.40688e-05,4.40688e-05,4.40688e-05
5,6.87071,3.41128,4.24513,1.85651,0,0,0,0,2.38422,4.60801,1.90502,5.61179e-05,5.61179e-05,5.61179e-05
6,8.83563,3.10486,5.35895,2.2921,0,0,0,0,2.41584,4.5905,1.89701,6.68467e-05,6.68467e-05,6.68467e-05
7,9.93878,3.0804,4.24998,2.14386,0,0,0,0,2.33,4.5929,1.88404,7.62552e-05,7.62552e-05,7.62552e-05
8,11.1125,3.15942,4.20747,1.76246,0,0,0,0,2.30658,4.60209,1.88683,8.43435e-05,8.43435e-05,8.43435e-05
9,12.4147,3.59419,4.26492,1.64869,0,0,0,0,2.43663,4.59841,1.92869,9.11116e-05,9.11116e-05,9.11116e-05
10,13.9939,2.68917,4.28427,1.85578,0,0,0,0,2.44268,4.60586,1.94214,9.65593e-05,9.65593e-05,9.65593e-05
11,15.1509,2.63847,4.00904,1.5162,0,0,0,0,2.44488,4.5952,1.9647,0.000100687,0.000100687,0.000100687
12,16.2315,3.27466,5.01516,2.04027,0,0,0,0,2.53711,4.54168,2.04116,0.000103494,0.000103494,0.000103494
13,17.5386,2.88399,4.25442,1.58162,0,0,0,0,2.46512,4.62832,2.00636,0.000104981,0.000104981,0.000104981
14,19.0863,2.57709,3.97779,1.44273,0,0,0,0,2.40845,4.68493,1.98687,0.000105148,0.000105148,0.000105148
15,20.1433,2.46128,3.98763,1.45762,0,0,0,0,2.38381,4.71657,1.97601,0.000103994,0.000103994,0.000103994
16,21.2591,2.40803,3.91008,1.51238,0,0,0,0,2.30944,4.68058,1.95119,0.00010152,0.00010152,0.00010152
17,22.5674,2.62471,3.87137,1.39935,0,0,0,0,2.38299,4.78695,2.01516,9.77262e-05,9.77262e-05,9.77262e-05
18,24.0891,2.05662,4.02746,1.44434,0,0,0,0,2.38299,4.78695,2.01516,9.26119e-05,9.26119e-05,9.26119e-05
19,25.4152,2.26878,3.85257,1.37893,0,0,0,0,2.45494,4.86956,2.07351,8.61772e-05,8.61772e-05,8.61772e-05
20,26.6506,2.39712,3.84826,1.26599,0,0,0,0,2.45494,4.86956,2.07351,7.84223e-05,7.84223e-05,7.84223e-05
21,27.8977,2.29737,3.85033,1.33582,0,0,0,0,2.57628,4.96293,2.13266,6.93472e-05,6.93472e-05,6.93472e-05
22,29.0504,1.79242,3.71966,1.22059,0,0,0,0,2.57628,4.96293,2.13266,5.89518e-05,5.89518e-05,5.89518e-05
23,30.173,2.1301,3.80071,1.2845,0,0,0,0,2.78035,5.04379,2.20795,4.72361e-05,4.72361e-05,4.72361e-05
24,31.3095,2.61615,3.79772,1.33896,0,0,0,0,2.78035,5.04379,2.20795,3.42002e-05,3.42002e-05,3.42002e-05
25,32.4974,2.15293,3.75645,1.31207,0,0,0,0,2.84222,5.16559,2.22762,1.9844e-05,1.9844e-05,1.9844e-05
