epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.53888,3.25796,4.32696,1.81437,0,0,0,0,2.70031,4.55196,2.08451,0,0,0
2,4.7603,3.7969,4.25823,2.10247,0,0,0,0,2.4408,4.60618,2.01221,1.6505e-05,1.6505e-05,1.6505e-05
3,6.93357,3.63874,4.60916,2.13584,0,0,0,0,2.41399,4.56795,1.98171,3.26799e-05,3.26799e-05,3.26799e-05
4,8.73062,3.81588,4.7841,2.46671,0,0,0,0,2.38789,4.58748,1.92965,4.85247e-05,4.85247e-05,4.85247e-05
5,10.5484,3.39634,4.24048,1.85056,0,0,0,0,2.38197,4.60654,1.89888,6.40395e-05,6.40395e-05,6.40395e-05
6,12.5307,3.09711,5.32673,2.30024,0,0,0,0,2.39186,4.58864,1.88603,7.92242e-05,7.92242e-05,7.92242e-05
7,14.3368,3.06521,4.21786,2.12028,0,0,0,0,2.27946,4.58788,1.87733,9.40788e-05,9.40788e-05,9.40788e-05
8,16.2634,3.08358,4.18229,1.73861,0,0,0,0,2.33251,4.58934,1.88937,0.000108603,0.000108603,0.000108603
9,18.057,3.5212,4.24291,1.61457,0,0,0,0,2.47315,4.59656,1.95396,0.000122798,0.000122798,0.000122798
10,20.2448,2.77666,4.10587,1.85556,0,0,0,0,2.46754,4.56268,1.96561,0.000136662,0.000136662,0.000136662
11,22.1377,2.56038,3.95013,1.48632,0,0,0,0,2.45359,4.55501,1.99886,0.000150197,0.000150197,0.000150197
12,24.1155,3.04784,4.81719,1.9381,0,0,0,0,2.50449,4.59879,2.05665,0.000163401,0.000163401,0.000163401
13,26.0086,2.91407,4.03551,1.47654,0,0,0,0,2.61056,4.72976,2.11103,0.000176275,0.000176275,0.000176275
14,27.8191,2.40315,3.90748,1.36259,0,0,0,0,2.65465,4.8799,2.13405,0.000188819,0.000188819,0.000188819
